ACRES,units,acres,unit_%,acre_%
5-10,5508,42045.0,14.1,2.8
10-20,9370,145789.0,24.0,9.7
20-40,12044,379769.0,30.8,25.2
40-80,9048,553237.0,23.1,36.7
80-160,2784,313500.0,7.1,20.8
160+,348,74920.0,0.9,5.0
