region,counties,units,acres,mean_ac,median_ac,p10_ac,p90_ac,max_ac
Sacramento Valley,11,7366,292322,39.7,30.5,8.9,77.6,446
San Joaquin north,7,18694,621091,33.2,22.2,7.9,74.0,554
San Joaquin south,6,13042,595848,45.7,37.2,11.9,79.2,355
