UniqueID,MAIN_CROP,MAIN_CROP_DATE,YR_PLANTED,ACRES,COUNTY,REGION,HYDRO_RGN,CROPTYP1,CLASS1,SUBCLASS1,study_region,is_unit,nearest_station_km
3101082,D12,,2018,38.01565248036806,Placer,NCRO,Sacramento River,****,**,**,sac_valley,1,14.3
3101081,D12,,2018,36.152164739477065,Placer,NCRO,Sacramento River,****,**,**,sac_valley,1,14.19
3101080,D12,,2016,38.09886840412342,Placer,NCRO,Sacramento River,****,**,**,sac_valley,1,13.81
3100040,D12,,2016,38.97776159488523,Placer,NCRO,Sacramento River,****,**,**,sac_valley,1,13.7
3102188,D12,,2016,37.768573731797645,Placer,NCRO,Sacramento River,****,**,**,sac_valley,1,14.09
3101084,D12,,2016,36.92747040054325,Placer,NCRO,Sacramento River,****,**,**,sac_valley,1,14.0
3101083,D12,,2016,38.064744855134926,Placer,NCRO,Sacramento River,****,**,**,sac_valley,1,13.61
3102799,D12,,2019,43.0862241558998,Placer,NCRO,Sacramento River,****,**,**,sac_valley,1,17.09
3102055,D12,,2018,21.451071564029238,Placer,NCRO,Sacramento River,****,**,**,sac_valley,1,26.84
3102323,D12,,2018,62.13579870928642,Placer,NCRO,Sacramento River,****,**,**,sac_valley,1,27.07
3100737,D12,,2018,32.16724353410444,Placer,NCRO,Sacramento River,****,**,**,sac_valley,1,23.93
3101041,D12,,2018,19.402731771962575,Placer,NCRO,Sacramento River,****,**,**,sac_valley,1,26.9
3102406,D12,,2020,66.09423871201987,Placer,NCRO,Sacramento River,****,**,**,sac_valley,1,14.01
3102436,D12,,2018,33.49234657618841,Placer,NCRO,Sacramento River,****,**,**,sac_valley,1,13.72
3102807,D12,,2020,25.416764232175094,Placer,NCRO,Sacramento River,****,**,**,sac_valley,1,17.31
3102867,D12,,2019,74.53181040651546,Placer,NCRO,Sacramento River,****,**,**,sac_valley,1,16.7
3103658,D12,,2020,36.55488995508041,Placer,NCRO,Sacramento River,****,**,**,sac_valley,1,18.21
3103463,D12,,2022,14.231613074590499,Placer,NCRO,Sacramento River,****,**,**,sac_valley,1,20.43
3103464,D12,,2022,64.69552117735157,Placer,NCRO,Sacramento River,****,**,**,sac_valley,1,20.14
3103545,D12,,2018,66.63860404696767,Placer,NCRO,Sacramento River,****,**,**,sac_valley,1,23.65
3103612,D12,,2021,19.28592209582234,Placer,NCRO,Sacramento River,****,**,**,sac_valley,1,23.95
3103526,D12,,2020,29.79615687456078,Placer,NCRO,Sacramento River,****,**,**,sac_valley,1,16.98
3103527,D12,,2019,42.85752905102853,Placer,NCRO,Sacramento River,****,**,**,sac_valley,1,17.35
3103948,D12,,2021,5.891046169172887,Placer,NCRO,Sacramento River,****,**,**,sac_valley,1,24.07
3103916,D12,,2021,7.4672401727692845,Placer,NCRO,Sacramento River,****,**,**,sac_valley,1,23.89
3102207,D12,,2018,23.389277937015155,Placer,NCRO,Sacramento River,****,**,**,sac_valley,1,27.12
3103757,D12,,2020,141.669284855707,Placer,NCRO,Sacramento River,****,**,**,sac_valley,1,17.49
3103758,D12,,2020,157.90156034077143,Placer,NCRO,Sacramento River,****,**,**,sac_valley,1,18.19
3102571,D12,,2020,37.28396081767899,Placer,NCRO,Sacramento River,****,**,**,sac_valley,1,17.59
