pool,km,units,unit_pct,acres,acre_pct
all 276 stations,5,4526,11.6,174353,11.6
all 276 stations,10,14426,36.9,565126,37.4
all 276 stations,20,34388,87.9,1334602,88.4
nominally operating 2015-2025,5,3125,8.0,120002,8.0
nominally operating 2015-2025,10,11084,28.3,425633,28.2
nominally operating 2015-2025,20,29204,74.7,1123926,74.5
flagged active today,5,1709,4.4,64347,4.3
flagged active today,10,7589,19.4,280847,18.6
flagged active today,20,23230,59.4,883871,58.6
